Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Document Type,Publication Stage,Source,first_author,corr_auth,abstract
Crippa F.; Moore T.L.; Mortato M.; Geers C.; Haeni L.; Hirt A.M.; Rothen-Rutishauser B.; Petri-Fink A.,"Crippa, Federica (57190182650); Moore, Thomas L. (36542652400); Mortato, Mariangela (55544610400); Geers, Christoph (56094423100); Haeni, Laetitia (57192428668); Hirt, Ann M. (7006725735); Rothen-Rutishauser, Barbara (6603722624); Petri-Fink, Alke (12799294600)",57190182650; 36542652400; 55544610400; 56094423100; 57192428668; 7006725735; 6603722624; 12799294600,Dynamic and biocompatible thermo-responsive magnetic hydrogels that respond to an alternating magnetic field,2017,Journal of Magnetism and Magnetic Materials,427,,,212,219,7,24,10.1016/j.jmmm.2016.11.023,Article,Final,Scopus,0,0,"Magnetic thermo-responsive hydrogels are a new class of materials that have recently attracted interest in biomedicine due to their ability to change phase upon magnetic stimulation. They have been used for drug release, magnetic hyperthermia treatment, and can potentially be engineered as stimuli-responsive substrates for cell mechanobiology. In this regard, we propose a series of magnetic thermo-responsive nanocomposite substrates that undergo cyclical swelling and de-swelling phases when actuated by an alternating magnetic field in aqueous environment. The synthetized substrates are obtained with a facile and reproducible method from poly-N-isopropylacrylamide and superparamagnetic iron oxide nanoparticles. Their conformation and the temperature-related, magnetic, and biological behaviors were characterized via scanning electron microscopy, swelling ratio analysis, vibrating sample magnetometry, alternating magnetic field stimulation and indirect viability assays. The nanocomposites showed no cytotoxicity with fibroblast cells, and exhibited swelling/de-swelling behavior near physiological temperatures (around 34 °C). Therefore these magnetic thermo-responsive hydrogels are promising materials as stimuli-responsive substrates allowing the study of cell-behavior by changing the hydrogel properties in situ."
Longobardi G.; Moore T.L.; Conte C.; Ungaro F.; Satchi-Fainaro R.; Quaglia F.,"Longobardi, Giuseppe (57547933500); Moore, Thomas Lee (36542652400); Conte, Claudia (57220754625); Ungaro, Francesca (6602987365); Satchi-Fainaro, Ronit (6602965771); Quaglia, Fabiana (7006516772)",57547933500; 36542652400; 57220754625; 6602987365; 6602965771; 7006516772,Polyester nanoparticles delivering chemotherapeutics: Learning from the past and looking to the future to enhance their clinical impact in tumor therapy,2024,Wiley Interdisciplinary Reviews: Nanomedicine and Nanobiotechnology,16,5,e1990,,,,0,10.1002/wnan.1990,Review,Final,Scopus,0,0,"Polymeric nanoparticles (NPs), specifically those comprised of biodegradable and biocompatible polyesters, have been heralded as a game-changing drug delivery platform. In fact, poly(α-hydroxy acids) such as polylactide (PLA), poly(lactide-co-glycolide) (PLGA), and poly(ε-caprolactone) (PCL) have been heavily researched in the past three decades as the material basis of polymeric NPs for drug delivery applications. As materials, these polymers have found success in resorbable sutures, biodegradable implants, and even monolithic, biodegradable platforms for sustained release of therapeutics (e.g., proteins and small molecules) and diagnostics. Few fields have gained more attention in drug delivery through polymeric NPs than cancer therapy. However, the clinical translational of polymeric nanomedicines for treating solid tumors has not been congruent with the fervor or funding in this particular field of research. Here, we attempt to provide a comprehensive snapshot of polyester NPs in the context of chemotherapeutic delivery. This includes a preliminary exploration of the polymeric nanomedicine in the cancer research space. We examine the various processes for producing polyester NPs, including methods for surface-functionalization, and related challenges. After a detailed overview of the multiple factors involved with the delivery of NPs to solid tumors, the crosstalk between particle design and interactions with biological systems is discussed. Finally, we report state-of-the-art approaches toward effective delivery of NPs to tumors, aiming at identifying new research areas and re-evaluating the reasons why some research avenues have underdelivered. We hope our effort will contribute to a better understanding of the gap to fill and delineate the future research work needed to bring polyester-based NPs closer to clinical application."
Miali M.E.; Chien W.; Moore T.L.; Felici A.; Palange A.L.; Oneto M.; Fedosov D.; Decuzzi P.,"Miali, Marco E. (57202160092); Chien, Wei (57191375750); Moore, Thomas Lee (36542652400); Felici, Alessia (57223860064); Palange, Anna Lisa (55991000900); Oneto, Michele (55553485600); Fedosov, Dmitry (23097008000); Decuzzi, Paolo (56884263000)",57202160092; 57191375750; 36542652400; 57223860064; 55991000900; 55553485600; 23097008000; 56884263000,Assessing Differential Particle Deformability under Microfluidic Flow Conditions,2023,ACS Biomaterials Science and Engineering,9,6,,3690,3698,8,2,10.1021/acsbiomaterials.3c00120,Article,Final,Scopus,0,0,"Assessing the mechanical behavior of nano- and micron-scale particles with complex shapes is fundamental in drug delivery. Although different techniques are available to quantify the bulk stiffness in static conditions, there is still uncertainty in assessing particle deformability in dynamic conditions. Here, a microfluidic chip is designed, engineered, and validated as a platform to assess the mechanical behavior of fluid-borne particles. Specifically, potassium hydroxide (KOH) wet etching was used to realize a channel incorporating a series of micropillars (filtering modules) with different geometries and openings, acting as microfilters in the direction of the flow. These filtering modules were designed with progressively decreasing openings, ranging in size from about 5 down to 1 μm. Discoidal polymeric nanoconstructs (DPNs), with a diameter of 5.5 μm and a height of 400 nm, were realized with different poly(lactic-co-glycolic acid) (PLGA) and poly(ethylene glycol) (PEG) ratios (PLGA/PEG), namely, 5:1 and 1:0, resulting in soft and rigid particles, respectively. Given the peculiar geometry of DPNs, the channel height was kept to 5 μm to limit particle tumbling or flipping along the flow. After thorough physicochemical and morphological characterization, DPNs were tested within the microfluidic chip to investigate their behavior under flow. As expected, most rigid DPNs were trapped in the first series of pillars, whereas soft DPNs were observed to cross multiple filtering modules and reach the micropillars with the smallest opening (1 μm). This experimental evidence was also supported by computational tools, where DPNs were modeled as a network of springs and beads immersed in a Newtonian fluid using the smoothed particle hydrodynamics (SPH) method. This preliminary study presents a combined experimental–computational framework to quantify, compare, and analyze the characteristics of particles having complex geometrical and mechanical attributes under flow conditions."
Cook A.B.; Schlich M.; Manghnani P.N.; Moore T.L.; Decuzzi P.; Palange A.L.,"Cook, Alexander B. (57183574900); Schlich, Michele (55326009100); Manghnani, Purnima N. (57191442081); Moore, Thomas L. (36542652400); Decuzzi, Paolo (56884263000); Palange, Anna Lisa (55991000900)",57183574900; 55326009100; 57191442081; 36542652400; 56884263000; 55991000900,Size effects of discoidal PLGA nanoconstructs in Pickering emulsion stabilization,2022,Journal of Polymer Science,60,9,,1480,1491,11,7,10.1002/pol.20210748,Article,Final,Scopus,0,0,"Solid particle stabilized emulsions, using unique shape defined particles, are receiving increasing research interest due to ease of formulation and interesting physiochemical characteristics. There is, however, a need to systematically investigate the effect of anisotropic discoidal microparticles, realized with top-down fabrication approaches, in emulsion stabilization. Here, the effect of poly(d,l-lactide-co-glycolide) (PLGA) discoidal polymeric nanoconstruct (DPN) size on the formation and stability of oil-in-water emulsions is studied. Particles with a diameter of 1, 2, and 5 μm are fabricated with a lithographic templating technique, and used to stabilize medium chain triglyceride (MCT) oil emulsions. Three phase contact angles decreased from 85° ± 7° to 68° ± 12° moving from 1 to 5 μm DPN stabilized emulsions, showing a particle “hydrophilicity” increase with size. Microscopy imaging showed that the mean droplet diameter and dispersity increased with particle size, and that DPNs were present at the oil–water interface. DPN based emulsions were stable for about 24 h or less in the case of 1 and 2 μm DPNs. Emulsion stability was shorter than 12 h in case of 5 μm DPNs. Finally, calculations of DPN detachment free energies ΔGdw and excess surface coverages Cexcess demonstrated that, despite the significantly high adhesion energy of the discoidal DPN, emulsion stability was mostly affected by gravitational forces for DPN sizes above 2 μm. The use of PLGA and MCT oil in this study is relevant for future use of Pickering emulsions in pharmaceutical and drug delivery applications."
Podila R.; Moore T.; Alexis F.; Rao A.,"Podila, Ramakrishna (35194474800); Moore, Thomas (36542652400); Alexis, Frank (55893790300); Rao, Apparao (7404473577)",35194474800; 36542652400; 55893790300; 7404473577,Graphene coatings for biomedical implants.,2013,Journal of visualized experiments : JoVE,,73,,e50276,,,39,10.3791/50276,Article,Final,Scopus,0,0,Graphene offers potential as a coating material for biomedical implants. In this study we demonstrate a method for coating nitinol alloys with nanometer thick layers of graphene and determine how graphene may influence implant response.
Burnand D.; Milosevic A.; Balog S.; Spuch-Calvar M.; Rothen-Rutishauser B.; Dengjel J.; Kinnear C.; Moore T.L.; Petri-Fink A.,"Burnand, David (56281919200); Milosevic, Ana (57193346532); Balog, Sandor (25930729100); Spuch-Calvar, Miguel (16204219300); Rothen-Rutishauser, Barbara (6603722624); Dengjel, Jörn (57202553907); Kinnear, Calum (55585286700); Moore, Thomas L. (36542652400); Petri-Fink, Alke (12799294600)",56281919200; 57193346532; 25930729100; 16204219300; 6603722624; 57202553907; 55585286700; 36542652400; 12799294600,Beyond Global Charge: Role of Amine Bulkiness and Protein Fingerprint on Nanoparticle–Cell Interaction,2018,Small,14,46,1802088,,,,16,10.1002/smll.201802088,Article,Final,Scopus,0,1,"Amino groups presented on the surface of nanoparticles are well-known to be a predominant factor in the formation of the protein corona and subsequent cellular uptake. However, the molecular mechanism underpinning this relationship is poorly defined. This study investigates how amine type and density affect the protein corona and cellular association of gold nanoparticles with cells in vitro. Four specific poly(vinyl alcohol-co-N-vinylamine) copolymers are synthesized containing primary, secondary, or tertiary amines. Particle cellular association (i.e., cellular uptake and surface adsorption), as well as protein corona composition, are then investigated. It is found that the protein corona (as a consequence of “amine bulkiness”) and amine density are both important in dictating cellular association. By evaluating the nanoparticle surface chemistry and the protein fingerprint, proteins that are significant in mediating particle–cell association are identified. In particular, primary amines, when exposed on the polymer side chain, are strongly correlated with the presence of alpha-2-HS-glycoprotein, and promote nanoparticle cellular association."
Moore T.L.; Wang F.; Chen H.; Grimes S.W.; Anker J.N.; Alexis F.,"Moore, Thomas L. (36542652400); Wang, Fenglin (55990825900); Chen, Hongyu (37033463000); Grimes, Stuart W. (55661187500); Anker, Jeffrey N. (6701869998); Alexis, Frank (55893790300)",36542652400; 55990825900; 37033463000; 55661187500; 6701869998; 55893790300,Polymer-coated radioluminescent nanoparticles for quantitative imaging of drug delivery,2014,Advanced Functional Materials,24,37,,5815,5823,8,19,10.1002/adfm.201400949,Article,Final,Scopus,1,0,"Some theranostic nanoparticle (NP) drug delivery systems are capable of measuring drug release rates in situ. This can provide quantitative information regarding drug biodistribution, and drug dose that is delivered to cells or tissues. Here, X-ray excited optical luminescent (XEOL) NPs coated with poly(glycolide)-poly(ethylene glycol) (XGP) are used measure the amount of drug released into cells. The photoactive drug protoporphyrin IX (PpIX) is loaded into XGP and is able to attenuate the XEOL NP emission. Measuring an increase in XEOL intensity as PpIX is released enables the measurement of drug release into glioblastoma cells (GBM). Biodistribution studies in a BALB/c mouse GBM intracranial xenograft model show significant XGP accumulation at the site of the GBM xenograft within the brain, and not in adjacent healthy brain tissues. There is no uptake of XGP in the heart or kidneys, the primary organs associated with drug and gadolinium ion toxicity. NP toxicity is tested with U-138MG GBM in vitro, and NPs show low cytotoxicity at concentrations of 100 μg/mL. In vivo dose escalation studies in BALB/c mice show no adverse effects at doses up to 75 mg/kg. These theranostic NPs offer an approach to quantitatively measure drug release into cells."
Urban D.A.; Milosevic A.M.; Bossert D.; Crippa F.; Moore T.L.; Geers C.; Balog S.; Rothen-Rutishauser B.; Petri-Fink A.,"Urban, Dominic A. (56684591400); Milosevic, Ana M. (57193346532); Bossert, David (57205110186); Crippa, Federica (57190182650); Moore, Thomas L. (36542652400); Geers, Christoph (56094423100); Balog, Sandor (25930729100); Rothen-Rutishauser, Barbara (6603722624); Petri-Fink, Alke (12799294600)",56684591400; 57193346532; 57205110186; 57190182650; 36542652400; 56094423100; 25930729100; 6603722624; 12799294600,Taylor Dispersion of Inorganic Nanoparticles and Comparison to Dynamic Light Scattering and Transmission Electron Microscopy,2018,Colloids and Interface Science Communications,22,,,29,33,4,33,10.1016/j.colcom.2017.12.001,Article,Final,Scopus,0,0,"Taylor dispersion analysis (TDA) is an analytical method that has so far mainly been utilized to determine the diffusion coefficient of small molecules, and proteins. Due to increasing interest in nanoscience, some research has been done on the applicability of TDA towards characterizing nanoparticles. This work aims to expand this knowledge and give insight into the range for which TDA can be used for nanoparticle characterization, focusing on various materials and sizes. The TDA setup shown in this work was successful in characterizing all engineered metallic, non-metallic nanoparticles, and proteins tested in this work. Results were compared to dynamic light scattering and electron microscopy, and were in good agreement with both methods. Taking into consideration the wide range of nanoparticle sizes that can be characterized, the minimal sample preparation, and sample volume, required and the simplicity of the method, TDA can be considered as a valuable technique for nanoparticle characterization."
Moore T.L.; Rodriguez-Lorenzo L.; Hirsch V.; Balog S.; Urban D.; Jud C.; Rothen-Rutishauser B.; Lattuada M.; Petri-Fink A.,"Moore, Thomas L. (36542652400); Rodriguez-Lorenzo, Laura (26433883400); Hirsch, Vera (55543262500); Balog, Sandor (25930729100); Urban, Dominic (56684591400); Jud, Corinne (9041412800); Rothen-Rutishauser, Barbara (6603722624); Lattuada, Marco (57132389600); Petri-Fink, Alke (12799294600)",36542652400; 26433883400; 55543262500; 25930729100; 56684591400; 9041412800; 6603722624; 57132389600; 12799294600,Nanoparticle colloidal stability in cell culture media and impact on cellular interactions,2015,Chemical Society Reviews,44,17,,6287,6305,18,807,10.1039/c4cs00487f,Review,Final,Scopus,1,1,"Nanomaterials are finding increasing use for biomedical applications such as imaging, diagnostics, and drug delivery. While it is well understood that nanoparticle (NP) physico-chemical properties can dictate biological responses and interactions, it has been difficult to outline a unifying framework to directly link NP properties to expected in vitro and in vivo outcomes. When introduced to complex biological media containing electrolytes, proteins, lipids, etc., nanoparticles (NPs) are subjected to a range of forces which determine their behavior in this environment. One aspect of NP behavior in biological systems that is often understated or overlooked is aggregation. NP aggregation will significantly alter in vitro behavior (dosimetry, NP uptake, cytotoxicity), as well as in vivo fate (pharmacokinetics, toxicity, biodistribution). Thus, understanding the factors driving NP colloidal stability and aggregation is paramount. Furthermore, studying biological interactions with NPs at the nanoscale level requires an interdisciplinary effort with a robust understanding of multiple characterization techniques. This review examines the factors that determine NP colloidal stability, the various efforts to stabilize NP in biological media, the methods to characterize NP colloidal stability in situ, and provides a discussion regarding NP interactions with cells."
Chen H.; Qi B.; Moore T.; Colvin D.C.; Crawford T.; Gore J.C.; Alexis F.; Mefford O.T.; Anker J.N.,"Chen, Hongyu (37033463000); Qi, Bin (55249569800); Moore, Thomas (36542652400); Colvin, Daniel C. (16174182800); Crawford, Thomas (7102138487); Gore, John C. (7202242633); Alexis, Frank (55893790300); Mefford, O. Thompson (13104879300); Anker, Jeffrey N. (6701869998)",37033463000; 55249569800; 36542652400; 16174182800; 7102138487; 7202242633; 55893790300; 13104879300; 6701869998,Synthesis of brightly PEGylated luminescent magnetic upconversion nanophosphors for deep tissue and dual MRI imaging,2014,Small,10,1,,160,168,8,63,10.1002/smll.201300828,Article,Final,Scopus,0,0,"A method is developed to fabricate monodispersed biocompatible Yb/Er or Yb/Tm doped β-NaGdF4 upconversion phosphors using polyelectrolytes to prevent irreversible particle aggregation during conversion of the precursor, Gd2O(CO3)2•H2O:Yb/Er or Yb/Tm, to β-NaGdF4:Yb/Er or Yb/Tm. The polyelectrolyte on the outer surface of nanophosphors also provided an amine tag for PEGylation. This method is also employed to fabricate PEGylated magnetic upconversion phosphors with Fe3O4 as the core and β-NaGdF4 as a shell. These magnetic upconversion nanophosphors have relatively high saturation magnetization (7.0 emu g−1) and magnetic susceptibility (1.7 × 10−2 emu g−1 Oe−1), providing them with large magnetophoretic mobilities. The magnetic properties for separation and controlled release in flow, their optical properties for cell labeling, deep tissue imaging, and their T1- and T2-weighted magnetic resonance imaging (MRI) relaxivities are studied. The magnetic upconversion phosphors display both strong magnetophoresis, dual MRI imaging (r1 = 2.9 mM−1 s−1, r2 = 204 mM−1 s−1), and bright luminescence under 1 cm chicken breast tissue."
Chen H.; Colvin D.C.; Qi B.; Moore T.; He J.; Mefford O.T.; Alexis F.; Gore J.C.; Anker J.N.,"Chen, Hongyu (37033463000); Colvin, Daniel C. (16174182800); Qi, Bin (55249569800); Moore, Thomas (36542652400); He, Jian (8704753900); Mefford, O. Thompson (13104879300); Alexis, Frank (55893790300); Gore, John C. (7202242633); Anker, Jeffrey N. (6701869998)",37033463000; 16174182800; 55249569800; 36542652400; 8704753900; 13104879300; 55893790300; 7202242633; 6701869998,Magnetic and optical properties of multifunctional core-shell radioluminescence nanoparticles,2012,Journal of Materials Chemistry,22,25,,12802,12809,7,65,10.1039/c2jm15444g,Article,Final,Scopus,0,0,"When X-rays irradiate radioluminescence nanoparticles, they generate visible and near infrared light that can penetrate through centimeters of tissue. X-ray luminescence tomography (XLT) maps the location of these radioluminescent contrast agents at high resolution by scanning a narrow X-ray beam through the tissue sample and collecting the luminescence at every position. Adding magnetic functionality to these radioluminescent particles would enable them to be guided, oriented, and heated using external magnetic fields, while their location and spectrum could be imaged with XLT and complementary magnetic resonance imaging. In this work, multifunctional monodispersed magnetic radioluminescent nanoparticles were developed as potential drug delivery carriers and radioluminescence imaging agents. The particles consisted of a spindle-shaped magnetic γ-Fe2O3 core and a radioluminescent europium-doped gadolinium oxide shell. Particles with solid iron oxide cores displayed saturation magnetizations consistent with their ∼13% core volume, however, the iron oxide quenched their luminescence. In order to increase the luminescence, we partially etched the iron oxide core in oxalic acid while preserving the radioluminescent shell. The core size was controlled by the etching time which in turn affected the particles' luminescence and magnetic properties. Particles with intermediate core sizes displayed both strong magnetophoresis and luminescence properties. They also served as MRI contrast agents with relaxivities of up to 58 mM−1 s−1 (r2) and 120 mM−1 s−1 (r2*). These particles offer promising multimodal MRI/fluorescence/X-ray luminescence contrast agents. Our core–shell synthesis technique offers a flexible method to control particle size, shape, and composition for a wide range of biological applications of magnetic/luminescent nanoparticles."
Moore T.L.; Graham E.; Mattix B.; Alexis F.,,,Nanoparticles to Cross Biological Barriers,2012,Biomaterials Science: An Integrated Clinical and Engineering Approach,,,,85,121,,,10.1201/b12303 ,Book chapter,Final,,1,0,
